suffix;len;count;%count;der;die;das;%der;%die;%das;rev
-rox;3;3;0.00;0;0;3;0.00;0.00;100.00;xor-
-roy;3;3;0.00;2;0;1;66.67;0.00;33.33;yor-
-mutz;4;5;0.00;5;0;0;100.00;0.00;0.00;ztum-
-nnaht;5;23;0.00;0;23;0;0.00;100.00;0.00;thann-
-höps;4;1;0.00;1;0;0;100.00;0.00;0.00;spöh-
-dessa;5;1;0.00;0;0;1;0.00;0.00;100.00;assed-
-opo;3;12;0.00;11;1;0;91.67;8.33;0.00;opo-
-häus;4;4;0.00;4;0;0;100.00;0.00;0.00;suäh-
-mthai;5;1;0.00;1;0;0;100.00;0.00;0.00;iahtm-
-opp;3;68;0.00;67;0;1;98.53;0.00;1.47;ppo-
-masit;5;2;0.00;2;0;0;100.00;0.00;0.00;tisam-
-engas;5;15;0.00;0;0;15;0.00;0.00;100.00;sagne-
-sília;5;1;0.00;0;0;1;0.00;0.00;100.00;ailís-
-flag;4;2;0.00;0;1;1;0.00;50.00;50.00;galf-
-chego;5;1;0.00;1;0;0;100.00;0.00;0.00;ogehc-
-riart;5;1;0.00;0;1;0;0.00;100.00;0.00;trair-
-igagl;5;1;0.00;1;0;0;100.00;0.00;0.00;lgagi-
-linke;5;14;0.00;0;14;0;0.00;100.00;0.00;eknil-
-boran;5;8;0.00;0;0;8;0.00;0.00;100.00;narob-
-llte;4;28;0.00;0;28;0;0.00;100.00;0.00;etll-
-engau;5;1;0.00;1;0;0;100.00;0.00;0.00;uagne-
-äcke;4;1;0.00;0;0;1;0.00;0.00;100.00;ekcä-
-loss;4;108;0.01;3;0;105;2.78;0.00;97.22;ssol-
-erapp;5;2;0.00;1;1;0;50.00;50.00;0.00;ppare-
-desse;5;1;0.00;0;1;0;0.00;100.00;0.00;essed-
-öchin;5;14;0.00;0;14;0;0.00;100.00;0.00;nihcö-
-ops;3;17;0.00;17;0;0;100.00;0.00;0.00;spo-
-nnähe;5;3;0.00;0;3;0;0.00;100.00;0.00;ehänn-
-aardt;5;1;0.00;0;1;0;0.00;100.00;0.00;tdraa-
-lost;4;4;0.00;3;0;1;75.00;0.00;25.00;tsol-
-flak;4;1;0.00;0;1;0;0.00;100.00;0.00;kalf-
-reddo;5;1;0.00;0;0;1;0.00;0.00;100.00;odder-
-huft;4;2;0.00;2;0;0;100.00;0.00;0.00;tfuh-
-trium;5;14;0.00;0;0;14;0.00;0.00;100.00;muirt-
-hufu;4;1;0.00;1;0;0;100.00;0.00;0.00;ufuh-
-noaks;5;1;0.00;0;0;1;0.00;0.00;100.00;skaon-
-riary;5;1;0.00;1;0;0;100.00;0.00;0.00;yrair-
-kiri;4;2;0.00;1;0;1;50.00;0.00;50.00;irik-
